Pipeline Type,Cause Category,Unintentional Release (Barrels)
TANK,MATERIAL/WELD/EQUIP FAILURE,0.15
UNDERGROUND,CORROSION,228
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,115
UNDERGROUND,CORROSION,0.29
UNDERGROUND,CORROSION,4
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,5.23
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.19
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.6
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,CORROSION,11.9
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.48
ABOVEGROUND,NATURAL FORCE DAMAGE,0.76
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,9000
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,1.43
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,CORROSION,1
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,15
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2
UNDERGROUND,EXCAVATION DAMAGE,1
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,8.19
UNDERGROUND,CORROSION,8
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
UNDERGROUND,CORROSION,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.46
UNDERGROUND,CORROSION,95
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,4.1
ABOVEGROUND,INCORRECT OPERATION,0.14
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,12
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,400
TANK,INCORRECT OPERATION,60
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,INCORRECT OPERATION,5
UNDERGROUND,CORROSION,100
UNDERGROUND,CORROSION,2.4
ABOVEGROUND,INCORRECT OPERATION,2
UNDERGROUND,INCORRECT OPERATION,0.08
